Op;DataLogCdc;IDFaturamento;IDEletroposto;IDCliente;StatusPagamento;ValorPagamento;DataTransacao
INSERT;2026-02-19 03:27:52;FAT_13;ELETRO_333;IDCliente_80;Pago;280.79;2026-02-19 03:27:52
INSERT;2026-02-16 02:18:38;FAT_14;ELETRO_91;IDCliente_32;Pago;256.82;2026-02-16 02:18:38
INSERT;2026-05-09 02:40:28;FAT_15;ELETRO_442;IDCliente_36;Pago;192.95;2026-05-09 02:40:28
INSERT;2026-05-03 15:30:33;FAT_16;ELETRO_282;IDCliente_22;Pago;201.19;2026-05-03 15:30:33
INSERT;2026-05-27 11:56:43;FAT_17;ELETRO_335;IDCliente_60;Pago;367.34;2026-05-27 11:56:43
INSERT;2026-05-07 17:37:39;FAT_18;ELETRO_371;IDCliente_56;Pago;231.73;2026-05-07 17:37:39
INSERT;2026-01-25 03:31:39;FAT_19;ELETRO_399;IDCliente_35;Pago;340.55;2026-01-25 03:31:39
INSERT;2026-02-21 10:20:31;FAT_20;ELETRO_378;IDCliente_14;Pago;88.73;2026-02-21 10:20:31
INSERT;2026-04-11 09:46:34;FAT_21;ELETRO_479;IDCliente_37;Pago;259.6;2026-04-11 09:46:34
INSERT;2026-05-15 11:16:45;FAT_22;ELETRO_283;IDCliente_4;Pago;68.22;2026-05-15 11:16:45
INSERT;2026-05-18 20:15:05;FAT_23;ELETRO_119;IDCliente_10;Pendente;244.25;2026-05-18 20:15:05
UPDATE;2026-05-20 22:15:05;FAT_23;ELETRO_119;IDCliente_10;Cancelado;244.25;2026-05-18 20:15:05
INSERT;2026-02-04 01:35:38;FAT_24;ELETRO_464;IDCliente_84;Pago;34.12;2026-02-04 01:35:38
INSERT;2026-01-20 11:53:12;FAT_25;ELETRO_137;IDCliente_77;Pago;45.55;2026-01-20 11:53:12
INSERT;2026-05-02 12:57:28;FAT_26;ELETRO_166;IDCliente_96;Pago;196.73;2026-05-02 12:57:28
INSERT;2026-03-31 01:20:30;FAT_27;ELETRO_154;IDCliente_74;Pendente;335.26;2026-03-31 01:20:30
UPDATE;2026-04-02 13:20:30;FAT_27;ELETRO_154;IDCliente_74;Pago;335.26;2026-03-31 01:20:30
INSERT;2026-03-11 05:47:09;FAT_28;ELETRO_232;IDCliente_51;Pendente;224.73;2026-03-11 05:47:09
UPDATE;2026-03-13 13:47:09;FAT_28;ELETRO_232;IDCliente_51;Pago;224.73;2026-03-11 05:47:09
INSERT;2026-02-13 17:43:09;FAT_29;ELETRO_312;IDCliente_59;Pendente;148.14;2026-02-13 17:43:09
UPDATE;2026-02-14 18:43:09;FAT_29;ELETRO_312;IDCliente_59;Cancelado;148.14;2026-02-13 17:43:09
INSERT;2026-04-01 20:31:53;FAT_30;ELETRO_414;IDCliente_14;Pago;147.23;2026-04-01 20:31:53
INSERT;2026-05-21 13:26:51;FAT_31;ELETRO_359;IDCliente_52;Pago;214.46;2026-05-21 13:26:51
INSERT;2026-03-03 06:11:18;FAT_32;ELETRO_478;IDCliente_88;Pendente;372.46;2026-03-03 06:11:18
UPDATE;2026-03-04 13:11:18;FAT_32;ELETRO_478;IDCliente_88;Pago;372.46;2026-03-03 06:11:18
INSERT;2026-02-15 16:52:27;FAT_33;ELETRO_465;IDCliente_53;Pago;131.23;2026-02-15 16:52:27
INSERT;2026-05-18 11:32:31;FAT_34;ELETRO_287;IDCliente_81;Pendente;183.57;2026-05-18 11:32:31
UPDATE;2026-05-20 17:32:31;FAT_34;ELETRO_287;IDCliente_81;Pago;183.57;2026-05-18 11:32:31
INSERT;2026-04-02 22:07:36;FAT_35;ELETRO_32;IDCliente_85;Pago;79.27;2026-04-02 22:07:36
INSERT;2026-05-30 19:35:26;FAT_36;ELETRO_98;IDCliente_2;Pago;181.18;2026-05-30 19:35:26
INSERT;2026-02-13 17:42:29;FAT_37;ELETRO_404;IDCliente_11;Pendente;61.68;2026-02-13 17:42:29
INSERT;2026-05-28 12:06:20;FAT_38;ELETRO_43;IDCliente_51;Pendente;57.98;2026-05-28 12:06:20
UPDATE;2026-05-31 21:06:20;FAT_38;ELETRO_43;IDCliente_51;Pago;57.98;2026-05-28 12:06:20
INSERT;2026-01-06 13:26:51;FAT_39;ELETRO_460;IDCliente_67;Pago;160.39;2026-01-06 13:26:51
INSERT;2026-02-13 18:24:45;FAT_40;ELETRO_283;IDCliente_73;Pago;259.63;2026-02-13 18:24:45
INSERT;2026-01-28 10:06:21;FAT_41;ELETRO_109;IDCliente_78;Pendente;377.77;2026-01-28 10:06:21
UPDATE;2026-01-31 12:06:21;FAT_41;ELETRO_109;IDCliente_78;Cancelado;377.77;2026-01-28 10:06:21
INSERT;2026-05-15 06:54:44;FAT_42;ELETRO_54;IDCliente_11;Pago;100.46;2026-05-15 06:54:44
INSERT;2026-01-26 13:17:12;FAT_43;ELETRO_341;IDCliente_41;Pendente;97.18;2026-01-26 13:17:12
UPDATE;2026-01-29 16:17:12;FAT_43;ELETRO_341;IDCliente_41;Pago;97.18;2026-01-26 13:17:12
INSERT;2026-03-20 16:43:50;FAT_44;ELETRO_420;IDCliente_25;Pago;358.9;2026-03-20 16:43:50
INSERT;2026-02-20 02:51:50;FAT_45;ELETRO_77;IDCliente_74;Pago;104.48;2026-02-20 02:51:50
INSERT;2026-01-30 03:08:44;FAT_46;ELETRO_245;IDCliente_16;Pago;249.8;2026-01-30 03:08:44
INSERT;2026-03-07 03:33:48;FAT_47;ELETRO_334;IDCliente_29;Pendente;168.83;2026-03-07 03:33:48
UPDATE;2026-03-10 04:33:48;FAT_47;ELETRO_334;IDCliente_29;Pago;168.83;2026-03-07 03:33:48
INSERT;2026-02-21 22:22:52;FAT_48;ELETRO_64;IDCliente_100;Pendente;185.31;2026-02-21 22:22:52
UPDATE;2026-02-24 00:22:52;FAT_48;ELETRO_64;IDCliente_100;Pago;185.31;2026-02-21 22:22:52
INSERT;2026-03-17 04:15:10;FAT_49;ELETRO_422;IDCliente_98;Pendente;199.93;2026-03-17 04:15:10
UPDATE;2026-03-18 10:15:10;FAT_49;ELETRO_422;IDCliente_98;Pago;199.93;2026-03-17 04:15:10
INSERT;2026-03-03 02:35:27;FAT_50;ELETRO_488;IDCliente_44;Pendente;252.49;2026-03-03 02:35:27
UPDATE;2026-03-05 08:35:27;FAT_50;ELETRO_488;IDCliente_44;Cancelado;252.49;2026-03-03 02:35:27
INSERT;2026-03-07 06:57:36;FAT_51;ELETRO_373;IDCliente_40;Pago;40.64;2026-03-07 06:57:36
INSERT;2026-04-16 12:49:48;FAT_52;ELETRO_429;IDCliente_18;Pendente;88.1;2026-04-16 12:49:48
UPDATE;2026-04-18 22:49:48;FAT_52;ELETRO_429;IDCliente_18;Pago;88.1;2026-04-16 12:49:48
INSERT;2026-04-10 00:06:29;FAT_53;ELETRO_16;IDCliente_74;Pendente;273.83;2026-04-10 00:06:29
UPDATE;2026-04-13 04:06:29;FAT_53;ELETRO_16;IDCliente_74;Cancelado;273.83;2026-04-10 00:06:29
INSERT;2026-03-30 01:10:46;FAT_54;ELETRO_149;IDCliente_43;Pendente;289.54;2026-03-30 01:10:46
UPDATE;2026-04-01 10:10:46;FAT_54;ELETRO_149;IDCliente_43;Pago;289.54;2026-03-30 01:10:46
INSERT;2026-01-04 11:36:56;FAT_55;ELETRO_393;IDCliente_11;Pendente;387.84;2026-01-04 11:36:56
UPDATE;2026-01-05 16:36:56;FAT_55;ELETRO_393;IDCliente_11;Cancelado;387.84;2026-01-04 11:36:56
INSERT;2026-03-09 19:03:20;FAT_56;ELETRO_174;IDCliente_16;Pago;381.39;2026-03-09 19:03:20
INSERT;2026-03-29 21:55:20;FAT_57;ELETRO_221;IDCliente_80;Pendente;216.22;2026-03-29 21:55:20
UPDATE;2026-03-31 08:55:20;FAT_57;ELETRO_221;IDCliente_80;Pago;216.22;2026-03-29 21:55:20
INSERT;2026-05-24 20:50:40;FAT_58;ELETRO_284;IDCliente_16;Pendente;265.51;2026-05-24 20:50:40
UPDATE;2026-05-27 01:50:40;FAT_58;ELETRO_284;IDCliente_16;Pago;265.51;2026-05-24 20:50:40
INSERT;2026-01-05 08:45:45;FAT_59;ELETRO_119;IDCliente_32;Pendente;109.12;2026-01-05 08:45:45
INSERT;2026-03-23 00:28:52;FAT_60;ELETRO_297;IDCliente_28;Pendente;44.86;2026-03-23 00:28:52
UPDATE;2026-03-25 11:28:52;FAT_60;ELETRO_297;IDCliente_28;Cancelado;44.86;2026-03-23 00:28:52
INSERT;2026-03-03 10:16:57;FAT_61;ELETRO_228;IDCliente_15;Pendente;345.8;2026-03-03 10:16:57
UPDATE;2026-03-04 22:16:57;FAT_61;ELETRO_228;IDCliente_15;Pago;345.8;2026-03-03 10:16:57
INSERT;2026-05-07 01:06:53;FAT_62;ELETRO_116;IDCliente_52;Pendente;230.62;2026-05-07 01:06:53
INSERT;2026-04-18 01:48:22;FAT_63;ELETRO_291;IDCliente_99;Pendente;124.74;2026-04-18 01:48:22
UPDATE;2026-04-20 06:48:22;FAT_63;ELETRO_291;IDCliente_99;Cancelado;124.74;2026-04-18 01:48:22
INSERT;2026-03-10 21:01:15;FAT_64;ELETRO_121;IDCliente_3;Pendente;195.55;2026-03-10 21:01:15
UPDATE;2026-03-12 21:01:15;FAT_64;ELETRO_121;IDCliente_3;Cancelado;195.55;2026-03-10 21:01:15
INSERT;2026-01-30 23:30:54;FAT_65;ELETRO_211;IDCliente_93;Pago;250.88;2026-01-30 23:30:54
INSERT;2026-01-10 04:26:06;FAT_66;ELETRO_74;IDCliente_78;Pago;302.58;2026-01-10 04:26:06
INSERT;2026-05-10 08:45:10;FAT_67;ELETRO_288;IDCliente_88;Pendente;146.68;2026-05-10 08:45:10
UPDATE;2026-05-13 13:45:10;FAT_67;ELETRO_288;IDCliente_88;Cancelado;146.68;2026-05-10 08:45:10
INSERT;2026-02-02 01:47:26;FAT_68;ELETRO_354;IDCliente_99;Pendente;228.34;2026-02-02 01:47:26
UPDATE;2026-02-05 01:47:26;FAT_68;ELETRO_354;IDCliente_99;Cancelado;228.34;2026-02-02 01:47:26
INSERT;2026-04-30 13:26:10;FAT_69;ELETRO_128;IDCliente_80;Pago;378.17;2026-04-30 13:26:10
INSERT;2026-01-02 23:27:47;FAT_70;ELETRO_26;IDCliente_62;Pendente;364.38;2026-01-02 23:27:47
UPDATE;2026-01-05 05:27:47;FAT_70;ELETRO_26;IDCliente_62;Pago;364.38;2026-01-02 23:27:47
INSERT;2026-02-07 00:22:36;FAT_71;ELETRO_98;IDCliente_56;Pago;354.82;2026-02-07 00:22:36
INSERT;2026-05-03 03:43:20;FAT_72;ELETRO_99;IDCliente_90;Pago;201.43;2026-05-03 03:43:20
INSERT;2026-02-09 22:14:54;FAT_73;ELETRO_30;IDCliente_84;Pago;330.53;2026-02-09 22:14:54
INSERT;2026-02-03 14:38:55;FAT_74;ELETRO_168;IDCliente_45;Pendente;119.81;2026-02-03 14:38:55
UPDATE;2026-02-06 22:38:55;FAT_74;ELETRO_168;IDCliente_45;Cancelado;119.81;2026-02-03 14:38:55
INSERT;2026-05-10 14:47:45;FAT_75;ELETRO_436;IDCliente_51;Pago;343.31;2026-05-10 14:47:45
INSERT;2026-01-17 11:24:07;FAT_76;ELETRO_154;IDCliente_82;Pendente;287.04;2026-01-17 11:24:07
INSERT;2026-04-17 14:33:53;FAT_77;ELETRO_442;IDCliente_18;Pago;39.41;2026-04-17 14:33:53
INSERT;2026-02-03 11:27:45;FAT_78;ELETRO_106;IDCliente_90;Pago;58.19;2026-02-03 11:27:45
INSERT;2026-03-26 01:18:17;FAT_79;ELETRO_133;IDCliente_77;Pago;163.1;2026-03-26 01:18:17
INSERT;2026-01-21 03:43:51;FAT_80;ELETRO_373;IDCliente_14;Pendente;77.78;2026-01-21 03:43:51
UPDATE;2026-01-23 15:43:51;FAT_80;ELETRO_373;IDCliente_14;Cancelado;77.78;2026-01-21 03:43:51
INSERT;2026-02-28 02:13:26;FAT_81;ELETRO_292;IDCliente_81;Pendente;219.12;2026-02-28 02:13:26
UPDATE;2026-03-01 07:13:26;FAT_81;ELETRO_292;IDCliente_81;Pago;219.12;2026-02-28 02:13:26
INSERT;2026-04-10 02:08:48;FAT_82;ELETRO_289;IDCliente_63;Pago;244.98;2026-04-10 02:08:48
INSERT;2026-01-09 13:27:34;FAT_83;ELETRO_419;IDCliente_42;Pago;77.95;2026-01-09 13:27:34
INSERT;2026-02-23 07:02:22;FAT_84;ELETRO_316;IDCliente_17;Pago;345.71;2026-02-23 07:02:22
INSERT;2026-02-04 22:28:59;FAT_85;ELETRO_24;IDCliente_74;Pago;121.22;2026-02-04 22:28:59
INSERT;2026-01-29 12:55:49;FAT_86;ELETRO_208;IDCliente_91;Pago;348.51;2026-01-29 12:55:49
INSERT;2026-04-11 13:45:58;FAT_87;ELETRO_184;IDCliente_18;Pendente;329.81;2026-04-11 13:45:58
INSERT;2026-01-24 04:59:10;FAT_88;ELETRO_376;IDCliente_71;Pendente;309.1;2026-01-24 04:59:10
UPDATE;2026-01-26 11:59:10;FAT_88;ELETRO_376;IDCliente_71;Cancelado;309.1;2026-01-24 04:59:10
INSERT;2026-05-18 07:30:53;FAT_89;ELETRO_140;IDCliente_12;Pendente;35.59;2026-05-18 07:30:53
UPDATE;2026-05-19 13:30:53;FAT_89;ELETRO_140;IDCliente_12;Pago;35.59;2026-05-18 07:30:53
INSERT;2026-02-24 15:53:03;FAT_90;ELETRO_234;IDCliente_33;Pago;115.03;2026-02-24 15:53:03
INSERT;2026-05-29 10:38:01;FAT_91;ELETRO_233;IDCliente_35;Pendente;393.23;2026-05-29 10:38:01
UPDATE;2026-05-30 18:38:01;FAT_91;ELETRO_233;IDCliente_35;Cancelado;393.23;2026-05-29 10:38:01
INSERT;2026-02-18 12:06:50;FAT_92;ELETRO_203;IDCliente_73;Pago;347.32;2026-02-18 12:06:50
INSERT;2026-03-29 10:56:51;FAT_93;ELETRO_359;IDCliente_58;Pago;302.0;2026-03-29 10:56:51
INSERT;2026-04-06 13:38:22;FAT_94;ELETRO_77;IDCliente_5;Pago;200.36;2026-04-06 13:38:22
INSERT;2026-05-20 16:30:46;FAT_95;ELETRO_183;IDCliente_44;Pendente;64.04;2026-05-20 16:30:46
UPDATE;2026-05-23 04:30:46;FAT_95;ELETRO_183;IDCliente_44;Pago;64.04;2026-05-20 16:30:46
INSERT;2026-03-30 19:04:06;FAT_96;ELETRO_41;IDCliente_67;Pendente;66.71;2026-03-30 19:04:06
UPDATE;2026-04-03 07:04:06;FAT_96;ELETRO_41;IDCliente_67;Cancelado;66.71;2026-03-30 19:04:06
INSERT;2026-02-18 10:35:38;FAT_97;ELETRO_375;IDCliente_55;Pago;173.31;2026-02-18 10:35:38
INSERT;2026-01-12 11:14:16;FAT_98;ELETRO_108;IDCliente_51;Pendente;291.87;2026-01-12 11:14:16
UPDATE;2026-01-15 12:14:16;FAT_98;ELETRO_108;IDCliente_51;Cancelado;291.87;2026-01-12 11:14:16
INSERT;2026-05-21 01:55:33;FAT_99;ELETRO_401;IDCliente_62;Pendente;354.01;2026-05-21 01:55:33
UPDATE;2026-05-23 12:55:33;FAT_99;ELETRO_401;IDCliente_62;Pago;354.01;2026-05-21 01:55:33
INSERT;2026-04-10 02:31:56;FAT_100;ELETRO_27;IDCliente_39;Pendente;285.74;2026-04-10 02:31:56
INSERT;2026-04-14 09:40:37;FAT_101;ELETRO_48;IDCliente_49;Pendente;367.64;2026-04-14 09:40:37
UPDATE;2026-04-16 20:40:37;FAT_101;ELETRO_48;IDCliente_49;Pago;367.64;2026-04-14 09:40:37
INSERT;2026-04-09 02:30:12;FAT_102;ELETRO_435;IDCliente_25;Pendente;66.28;2026-04-09 02:30:12
INSERT;2026-01-20 01:05:39;FAT_103;ELETRO_280;IDCliente_78;Pendente;123.37;2026-01-20 01:05:39
UPDATE;2026-01-22 04:05:39;FAT_103;ELETRO_280;IDCliente_78;Pago;123.37;2026-01-20 01:05:39
INSERT;2026-03-20 12:30:35;FAT_104;ELETRO_481;IDCliente_94;Pendente;209.89;2026-03-20 12:30:35
UPDATE;2026-03-21 14:30:35;FAT_104;ELETRO_481;IDCliente_94;Pago;209.89;2026-03-20 12:30:35
INSERT;2026-01-12 15:41:54;FAT_105;ELETRO_392;IDCliente_86;Pendente;245.85;2026-01-12 15:41:54
UPDATE;2026-01-15 02:41:54;FAT_105;ELETRO_392;IDCliente_86;Cancelado;245.85;2026-01-12 15:41:54
INSERT;2026-02-13 00:50:13;FAT_106;ELETRO_241;IDCliente_79;Pendente;131.94;2026-02-13 00:50:13
UPDATE;2026-02-16 02:50:13;FAT_106;ELETRO_241;IDCliente_79;Cancelado;131.94;2026-02-13 00:50:13
INSERT;2026-03-10 11:10:29;FAT_107;ELETRO_371;IDCliente_89;Pago;93.73;2026-03-10 11:10:29
INSERT;2026-01-31 13:59:39;FAT_108;ELETRO_86;IDCliente_51;Pendente;304.76;2026-01-31 13:59:39
UPDATE;2026-02-02 20:59:39;FAT_108;ELETRO_86;IDCliente_51;Cancelado;304.76;2026-01-31 13:59:39
INSERT;2026-04-27 01:01:49;FAT_109;ELETRO_172;IDCliente_86;Pago;81.45;2026-04-27 01:01:49
INSERT;2026-05-18 11:42:27;FAT_110;ELETRO_113;IDCliente_83;Pago;385.46;2026-05-18 11:42:27
INSERT;2026-04-01 11:54:00;FAT_111;ELETRO_470;IDCliente_60;Pendente;156.81;2026-04-01 11:54:00
UPDATE;2026-04-02 22:54:00;FAT_111;ELETRO_470;IDCliente_60;Cancelado;156.81;2026-04-01 11:54:00
INSERT;2026-03-10 20:20:20;FAT_112;ELETRO_491;IDCliente_4;Pago;286.41;2026-03-10 20:20:20
INSERT;2026-02-17 01:59:55;FAT_113;ELETRO_102;IDCliente_51;Pendente;130.43;2026-02-17 01:59:55
UPDATE;2026-02-19 06:59:55;FAT_113;ELETRO_102;IDCliente_51;Pago;130.43;2026-02-17 01:59:55
INSERT;2026-02-14 02:49:32;FAT_114;ELETRO_83;IDCliente_89;Pago;298.08;2026-02-14 02:49:32
INSERT;2026-04-22 04:24:26;FAT_115;ELETRO_346;IDCliente_71;Pendente;273.92;2026-04-22 04:24:26
UPDATE;2026-04-24 13:24:26;FAT_115;ELETRO_346;IDCliente_71;Pago;273.92;2026-04-22 04:24:26
INSERT;2026-01-18 01:19:53;FAT_116;ELETRO_37;IDCliente_64;Pendente;258.95;2026-01-18 01:19:53
UPDATE;2026-01-21 08:19:53;FAT_116;ELETRO_37;IDCliente_64;Cancelado;258.95;2026-01-18 01:19:53
INSERT;2026-05-06 10:17:08;FAT_117;ELETRO_422;IDCliente_91;Pendente;357.35;2026-05-06 10:17:08
UPDATE;2026-05-08 20:17:08;FAT_117;ELETRO_422;IDCliente_91;Pago;357.35;2026-05-06 10:17:08
INSERT;2026-03-02 20:47:57;FAT_118;ELETRO_93;IDCliente_99;Pendente;97.87;2026-03-02 20:47:57
UPDATE;2026-03-04 06:47:57;FAT_118;ELETRO_93;IDCliente_99;Cancelado;97.87;2026-03-02 20:47:57
INSERT;2026-04-10 13:48:00;FAT_119;ELETRO_188;IDCliente_77;Pago;267.79;2026-04-10 13:48:00
INSERT;2026-05-15 11:36:42;FAT_120;ELETRO_280;IDCliente_58;Pendente;308.82;2026-05-15 11:36:42
UPDATE;2026-05-17 17:36:42;FAT_120;ELETRO_280;IDCliente_58;Pago;308.82;2026-05-15 11:36:42
INSERT;2026-01-18 00:06:27;FAT_121;ELETRO_169;IDCliente_97;Pendente;156.52;2026-01-18 00:06:27
UPDATE;2026-01-20 07:06:27;FAT_121;ELETRO_169;IDCliente_97;Pago;156.52;2026-01-18 00:06:27
INSERT;2026-03-14 13:06:06;FAT_122;ELETRO_6;IDCliente_19;Pendente;292.35;2026-03-14 13:06:06
INSERT;2026-03-07 02:26:16;FAT_123;ELETRO_457;IDCliente_33;Pendente;342.93;2026-03-07 02:26:16
UPDATE;2026-03-10 07:26:16;FAT_123;ELETRO_457;IDCliente_33;Cancelado;342.93;2026-03-07 02:26:16
INSERT;2026-05-30 00:50:18;FAT_124;ELETRO_115;IDCliente_10;Pendente;321.04;2026-05-30 00:50:18
UPDATE;2026-06-02 04:50:18;FAT_124;ELETRO_115;IDCliente_10;Cancelado;321.04;2026-05-30 00:50:18
INSERT;2026-03-19 11:19:20;FAT_125;ELETRO_299;IDCliente_44;Pendente;368.04;2026-03-19 11:19:20
UPDATE;2026-03-20 19:19:20;FAT_125;ELETRO_299;IDCliente_44;Pago;368.04;2026-03-19 11:19:20
INSERT;2026-04-29 00:48:55;FAT_126;ELETRO_103;IDCliente_82;Pago;102.24;2026-04-29 00:48:55
INSERT;2026-02-14 03:44:54;FAT_127;ELETRO_330;IDCliente_45;Pendente;284.6;2026-02-14 03:44:54
UPDATE;2026-02-16 07:44:54;FAT_127;ELETRO_330;IDCliente_45;Pago;284.6;2026-02-14 03:44:54
INSERT;2026-01-21 08:31:16;FAT_128;ELETRO_254;IDCliente_6;Pendente;86.06;2026-01-21 08:31:16
UPDATE;2026-01-23 20:31:16;FAT_128;ELETRO_254;IDCliente_6;Pago;86.06;2026-01-21 08:31:16
INSERT;2026-02-26 12:29:40;FAT_129;ELETRO_355;IDCliente_63;Pendente;262.5;2026-02-26 12:29:40
INSERT;2026-04-29 00:05:34;FAT_130;ELETRO_10;IDCliente_13;Pago;217.22;2026-04-29 00:05:34
INSERT;2026-05-20 21:25:16;FAT_131;ELETRO_102;IDCliente_68;Pendente;37.33;2026-05-20 21:25:16
UPDATE;2026-05-22 23:25:16;FAT_131;ELETRO_102;IDCliente_68;Cancelado;37.33;2026-05-20 21:25:16
INSERT;2026-02-15 03:06:52;FAT_132;ELETRO_180;IDCliente_50;Pendente;98.52;2026-02-15 03:06:52
UPDATE;2026-02-17 04:06:52;FAT_132;ELETRO_180;IDCliente_50;Cancelado;98.52;2026-02-15 03:06:52
INSERT;2026-03-07 10:49:13;FAT_133;ELETRO_303;IDCliente_60;Pago;46.49;2026-03-07 10:49:13
INSERT;2026-04-25 11:37:03;FAT_134;ELETRO_316;IDCliente_2;Pendente;188.85;2026-04-25 11:37:03
INSERT;2026-04-30 02:29:05;FAT_135;ELETRO_82;IDCliente_5;Pendente;166.2;2026-04-30 02:29:05
UPDATE;2026-05-03 13:29:05;FAT_135;ELETRO_82;IDCliente_5;Pago;166.2;2026-04-30 02:29:05
INSERT;2026-04-18 20:44:58;FAT_136;ELETRO_345;IDCliente_95;Pendente;31.36;2026-04-18 20:44:58
INSERT;2026-03-17 04:33:47;FAT_137;ELETRO_421;IDCliente_6;Pago;59.53;2026-03-17 04:33:47
INSERT;2026-04-13 01:32:41;FAT_138;ELETRO_16;IDCliente_33;Pago;129.32;2026-04-13 01:32:41
INSERT;2026-03-15 10:29:06;FAT_139;ELETRO_181;IDCliente_6;Pendente;273.19;2026-03-15 10:29:06
INSERT;2026-05-18 11:44:53;FAT_140;ELETRO_288;IDCliente_97;Pendente;98.07;2026-05-18 11:44:53
UPDATE;2026-05-19 12:44:53;FAT_140;ELETRO_288;IDCliente_97;Cancelado;98.07;2026-05-18 11:44:53
INSERT;2026-02-05 04:18:36;FAT_141;ELETRO_186;IDCliente_41;Pago;284.35;2026-02-05 04:18:36
INSERT;2026-02-06 01:31:17;FAT_142;ELETRO_48;IDCliente_91;Pago;72.41;2026-02-06 01:31:17
INSERT;2026-02-25 03:05:18;FAT_143;ELETRO_363;IDCliente_82;Pago;251.39;2026-02-25 03:05:18
INSERT;2026-05-11 00:41:20;FAT_144;ELETRO_75;IDCliente_68;Pendente;169.11;2026-05-11 00:41:20
UPDATE;2026-05-14 00:41:20;FAT_144;ELETRO_75;IDCliente_68;Cancelado;169.11;2026-05-11 00:41:20
INSERT;2026-01-24 11:58:00;FAT_145;ELETRO_97;IDCliente_83;Pago;281.33;2026-01-24 11:58:00
INSERT;2026-02-27 02:43:33;FAT_146;ELETRO_82;IDCliente_41;Pendente;299.05;2026-02-27 02:43:33
INSERT;2026-04-26 08:20:22;FAT_147;ELETRO_287;IDCliente_54;Pendente;81.03;2026-04-26 08:20:22
UPDATE;2026-04-27 20:20:22;FAT_147;ELETRO_287;IDCliente_54;Pago;81.03;2026-04-26 08:20:22
INSERT;2026-04-13 03:33:24;FAT_148;ELETRO_26;IDCliente_72;Pago;42.44;2026-04-13 03:33:24
INSERT;2026-05-13 02:40:15;FAT_149;ELETRO_176;IDCliente_54;Pendente;374.26;2026-05-13 02:40:15
INSERT;2026-04-17 10:05:11;FAT_150;ELETRO_455;IDCliente_96;Pendente;274.66;2026-04-17 10:05:11
UPDATE;2026-04-20 10:05:11;FAT_150;ELETRO_455;IDCliente_96;Pago;274.66;2026-04-17 10:05:11
INSERT;2026-01-26 04:34:50;FAT_151;ELETRO_394;IDCliente_10;Pago;289.01;2026-01-26 04:34:50
INSERT;2026-05-14 09:22:06;FAT_152;ELETRO_252;IDCliente_95;Pago;320.11;2026-05-14 09:22:06
INSERT;2026-01-05 19:55:47;FAT_153;ELETRO_317;IDCliente_94;Pendente;371.98;2026-01-05 19:55:47
UPDATE;2026-01-07 01:55:47;FAT_153;ELETRO_317;IDCliente_94;Pago;371.98;2026-01-05 19:55:47
INSERT;2026-04-06 20:16:33;FAT_154;ELETRO_168;IDCliente_9;Pago;182.66;2026-04-06 20:16:33
INSERT;2026-02-15 11:28:12;FAT_155;ELETRO_211;IDCliente_54;Pendente;367.35;2026-02-15 11:28:12
